SortNo,Music_Title,Nickname,Artist,BPM,Side,Pack,Version,FTR_Level,FTR_Const,BYD_Level,BYD_Const
1,Sayonara Hatuskoi,さよならはつこい,REDSHiFT,178,Hikari,Arcaea,1,7,7,,
2,Fairytale,ふぇありーている,chitose,189,Hikari,Arcaea,1,7,7,,
3,Vexaria,ヴぇくせりあ,ak+q,180,Hikari,Arcaea,1,7,7,,
4,Rise,らいず,Combatplayer,140,Hikari,Arcaea,1,7,7.5,,
5,Lucifer,るしふぁー,chitose,165,Tairitsu,Arcaea,1,7,8.2,,
6,Snow White,すのーほわいと,Puru,150,Hikari,Arcaea,1,8,8.4,,
7,Shades of Light in a Transcendent Realm,さですおぶらいといんとらんせんでんとれるむ,ak+q,170,Hikari,Arcaea,1,8,8.3,,
8,Babaroque,ばばろっく,cYsmix,136,Hikari,Arcaea,1,8,8.5,,
9,Lost Civilization,ろすとしびらいぜーしょん,Laur vs CK,210,Tairitsu,Arcaea,1,9,9.2,,
10,GOODTEK(Arcaea Edit),ぐっとてっく,EBIMAYO,190,Hikari,Arcaea,1,9,9.3,,
11,qualia -ideaesthesia-,くありあ,nitro,144,Tairitsu,Arcaea,1,9,9.1,,
12,cry of viyella,くらいおぶヴぃえら,Laur,180,Tairitsu,Eternal Core,1,8,8.5,,
13,I've heard it said,あいヴはーどいっとせいど,Combatplayer,165,Hikari,Eternal Core,1,8,8.1,,
14,memoryfactory.lzh,めもりーふぁくとりー,Frums,100,Hikari,Eternal Core,1,8,8.9,,
15,Relentless,りれんとれす,Akira Complex,174,Tairitsu,Eternal Core,1,8,8,,
16,Lumia,るみあ,sky_delta,180,Hikari,Eternal Core,1,8,8.4,,
17,Essence of Twilight,えっせんすおぶとわいらいと,ak+q,164,Tairitsu,Eternal Core,1,9,9.1,,
18,PRAGMATISM,ぷらぐまてぃずむ,Laur,174,Hikari,Eternal Core,1,10,10.1,,
19,Sheriruth,しぇりだー,Team Grimoire,185,Tairitsu,Eternal Core,1,10,10.1,,
20,Dement ~after legend~,でぃめんと,Cosmograph,210,Tairitsu,Arcaea,1,7,7.5,,
21,Dandelion,だんでらいおん,Farhan,169,Hikari,Arcaea,1,8,8.5,,
22,Infinity Heaven,いんふぃにてぃへぶん,Hyun,160,Hikari,Arcaea,1,7,7.5,,
23,Anökumene,あねくめね,Jun Kuroda,186,Tairitsu,Arcaea,1,9,9.2,,
24,Brand new world,ぶらんどにゅーわーるど,U-ske,160,Hikari,Arcaea,1,7,7.5,,
25,Paradise,ぱらだいす,Sound Souler,125,Hikari,Crimson Solace,1,7,7.5,,
26,Flashback,ふらっしゅばっく,ARForest,195,Hikari,Crimson Solace,1,8,8.8,,
27,フライブルクとエンドロウル,ふらいぶるくとえんどろうる,アリスシャッハと魔法の楽団,180,Hikari,Crimson Solace,1,9,9,,
28,Party Vinyl,ぱーてぃーびにーる,モリモリあつし,132,Hikari,Crimson Solace,1,9,9.4,,
29,Nirv lucE,にるヴるーちぇ,しーけー,260,Hikari,Crimson Solace,1,10,10.3,,
30,Chronostasis,くろのすたしす,黒皇帝,196,Tairitsu,Arcaea,1.01,8,8.9,,
31,神奈川電脳暗渠,かながわでんのうあんきょ,南ゆに,180,Hikari,Arcaea,1.01,9,9,,
32,DetaErr0r,でーたえらー,Cosmograph,180,Tairitsu,Memory Archive,1.01,9,9.5,,
33,CROSS♰SOUL,くろすそうる,Hyun feat. Syepias,200,Tairitsu,Memory Archive,1.01,9,9.4,,
34,Your voice so... feat. Such,ふあぼいすそー,PSYQUI,176,Hikari,Memory Archive,1.01,9,9.4,,
35,クロートーと星の観測者,くろーとーとほしのかんそくしゃ,しーけー,230,Hikari,Arcaea,1.01,7,7.5,,
36,Moonlight of Sand Castle,むーんらいとおぶさんどきゃっする,旅人E,160,Hikari,Dynamix,1.01,7,7.5,,
37,REconstruction,りこんすとらくしょん,Ryazan,180,Hikari,Dynamix,1.01,8,8.4,,
38,Evoltex (poppi'n mix),えぼるてっくす,Arch vs n3pu,205,Hikari,Dynamix,1.01,8,8.9,,
39,Oracle,おらくる,TQ☆,152,Tairitsu,Dynamix,1.01,9,9.3,,
40,αterlβus,あーてるばす,Aoi,202,Tairitsu,Dynamix,1.01,10,10.2,,
41,Ignotus,いぐのーたす,ak+q,170,Tairitsu,Arcaea,1.01,9,9.3,,
42,不浄な白い鳥,ふじょうなしろいとり,MIssionary,184,Hikari,Memory Archive,1.01,9,9.4,,
43,ハルトピア ~Utopia of Spring~,はるとぴあ,A-zu-ra,185,Hikari,Arcaea,1.01,8,8.5,,
44,Blossoms,ぶろっさむず,T2Kazuya,138,Hikari,Ambivalent Vision,1.01,7,7,,
45,vsキミ戦争,ばーさすきみせんそう,U-ske (feat. lueur),187,Hikari,Ambivalent Vision,1.01,7,7.5,,
46,Moonheart,むーんはーと,翡乃イスカ,180,Hikari,Ambivalent Vision,1.01,8,8.4,,
47,Genesis,じぇねしす,Iris,132,Tairitsu,Ambivalent Vision,1.01,8,8.2,,
48,Lethaeus,れーてうす,Silentroom,155,Tairitsu,Ambivalent Vision,1.01,9.7,9.7,,
49,Auxesia,あうくせしあ,ginkiha,183,Hikari,Memory Archive,1.01,9,9.3,,
50,Rabbit In The Black Room,らびっといんざぶらっくるーむ,Rabbit House,270,Tairitsu,Arcaea,1.01,8,8.4,,
51,Modelista,もでりすた,HiTECH NINJA,165,Hikari,Memory Archive,1.01,10,10,,
52,One Last Drive,わんらすとどらいぶ,REDSHiFT,175,Hikari,Arcaea,1.05,8,8.2,,
53,Dreamin' Attraction!!,どりーみんあとらくしょん,翡乃イスカ,205,Hikari,Arcaea,1.05,9,9.4,,
